('<BOS>',)的频次-----86924
('而是',)的频次-----396
('保证',)的频次-----613
('足球',)的频次-----535
('运动',)的频次-----316
('由',)的频次-----2741
('主宰',)的频次-----10
('它',)的频次-----1720
('应该',)的频次-----585
('多元化',)的频次-----43
('一元化',)的频次-----1
('国际',)的频次-----2172
('金融市场',)的频次-----175
('风云变幻',)的频次-----15
('竞争',)的频次-----753
('异常',)的频次-----75
('激烈',)的频次-----201
('叫',)的频次-----338
('名',)的频次-----638
('儿',)的频次-----163
('专门',)的频次-----330
('栽种',)的频次-----13
('却',)的频次-----1213
('择',)的频次-----9
('地',)的频次-----5512
('产油国',)的频次-----39
('石油',)的频次-----402
('公司',)的频次-----1391
('消费',)的频次-----521
('国',)的频次-----856
('相互',)的频次-----448
('协商',)的频次-----88
('长期',)的频次-----505
('互利',)的频次-----45
('基础',)的频次-----1245
('建立',)的频次-----1345
('油',)的频次-----240
('价',)的频次-----283
('体系',)的频次-----497
('不得不',)的频次-----130
('同心协力',)的频次-----10
('对付',)的频次-----49
('这些',)的频次-----1638
('怀着',)的频次-----28
('绝望',)的频次-----8
('心情',)的频次-----86
('到处',)的频次-----68
('行走',)的频次-----29
('从严',)的频次-----75
('主要',)的频次-----1473
('首要',)的频次-----57
('严',)的频次-----105
('起',)的频次-----1923
('好不容易',)的频次-----14
('布局',)的频次-----56
('建设',)的频次-----2741
('权',)的频次-----261
('就要',)的频次-----175
('抓紧',)的频次-----83
('搞好',)的频次-----165
('自身',)的频次-----375
('靠',)的频次-----453
('只',)的频次-----813
('喇叭',)的频次-----12
('向',)的频次-----2859
('青年',)的频次-----702
('做',)的频次-----1215
('政治',)的频次-----1216
('思想',)的频次-----1263
('方法',)的频次-----439
('已',)的频次-----3772
('灵',)的频次-----44
('自由',)的频次-----219
('不可',)的频次-----291
('分割',)的频次-----42
('整体',)的频次-----255
('这样',)的频次-----1202
('选',)的频次-----195
('一生',)的频次-----107
('碰',)的频次-----42
('几',)的频次-----65
('回',)的频次-----339
('圆月',)的频次-----1
('当空',)的频次-----2
('月光如水',)的频次-----1
('一片',)的频次-----218
('朦胧',)的频次-----9
('《',)的频次-----3965
('解放',)的频次-----245
('实事求是',)的频次-----190
('团结一致',)的频次-----21
('向前看',)的频次-----5
('》',)的频次-----3965
('文',)的频次-----173
('中',)的频次-----9449
('提出',)的频次-----1293
('机构',)的频次-----979
('臃肿',)的频次-----8
('层次',)的频次-----178
('重叠',)的频次-----10
('手续',)的频次-----141
('繁杂',)的频次-----8
('效率',)的频次-----160
('低',)的频次-----378
('公安',)的频次-----228
('部门',)的频次-----1856
('为了',)的频次-----1102
('自行车',)的频次-----55
('安全',)的频次-----712
('出租车',)的频次-----62
('马路',)的频次-----53
('随便',)的频次-----21
('停车',)的频次-----18
('眼',)的频次-----226
('手',)的频次-----397
('（',)的频次-----3042
('左手',)的频次-----11
('食指',)的频次-----2
('）',)的频次-----3037
('齐',)的频次-----58
('下',)的频次-----3034
('评定',)的频次-----23
('好',)的频次-----2356
('程度',)的频次-----372
('石',)的频次-----179
('质',)的频次-----99
('澄',)的频次-----7
('泥',)的频次-----43
('等',)的频次-----6008
('准',)的频次-----125
('此',)的频次-----1197
('最',)的频次-----1592
('形制',)的频次-----5
('如何',)的频次-----612
('年代',)的频次-----73
('如果',)的频次-----939
('款识',)的频次-----1
('真',)的频次-----334
('都是',)的频次-----668
('独生子女',)的频次-----25
('平时',)的频次-----69
('穿',)的频次-----163
('缺',)的频次-----111
('好多',)的频次-----23
('父母',)的频次-----215
('便',)的频次-----644
('将',)的频次-----5651
('给',)的频次-----1944
('们',)的频次-----1878
('新年',)的频次-----8
('礼物',)的频次-----30
('换',)的频次-----210
('成',)的频次-----1118
('书',)的频次-----743
('但是',)的频次-----609
('附',)的频次-----334
('书后',)的频次-----2
('近代',)的频次-----162
('散文',)的频次-----88
('钞',)的频次-----12
('目录',)的频次-----15
('忍不住',)的频次-----7
('句',)的频次-----267
('文化',)的频次-----1506
('源远流长',)的频次-----16
('博大精深',)的频次-----9
('继承',)的频次-----100
('弘扬',)的频次-----106
('观察',)的频次-----133
('少数民族',)的频次-----116
('地区',)的频次-----2275
('那个',)的频次-----121
('能不能',)的频次-----46
('起来',)的频次-----916
('要求',)的频次-----1724
('有关',)的频次-----1734
('研究',)的频次-----1803
('教师',)的频次-----380
('中小学',)的频次-----54
('工资',)的频次-----236
('制度',)的频次-----992
('忽视',)的频次-----112
('领导者',)的频次-----40
('缺乏',)的频次-----272
('远见',)的频次-----26
('成熟',)的频次-----158
('领导',)的频次-----1361
('国家',)的频次-----3636
('国力',)的频次-----44
('强弱',)的频次-----16
('经济',)的频次-----5063
('后劲',)的频次-----25
('大小',)的频次-----83
('越来越',)的频次-----418
('取决于',)的频次-----61
('劳动者',)的频次-----69
('素质',)的频次-----652
('知识分子',)的频次-----77
('数量',)的频次-----209
('质量',)的频次-----898
('知道',)的频次-----364
('科学',)的频次-----942
('难',)的频次-----370
('搞',)的频次-----486
('自告奋勇',)的频次-----10
('抓',)的频次-----450
('外语',)的频次-----22
('知识',)的频次-----835
('数理化',)的频次-----3
('攀',)的频次-----18
('高峰',)的频次-----56
('子女',)的频次-----93
('严厉',)的频次-----94
('父亲',)的频次-----192
('同时',)的频次-----1511
('又是',)的频次-----183
('充满',)的频次-----247
('爱心',)的频次-----93
('眼下',)的频次-----56
('不兴',)的频次-----2
('门路',)的频次-----38
('这种',)的频次-----1202
('好事',)的频次-----98
('到头来',)的频次-----14
('轮',)的频次-----177
('子弟',)的频次-----13
('关系户',)的频次-----4
('头',)的频次-----217
('察',)的频次-----21
('身',)的频次-----183
('不敢',)的频次-----73
('诬',)的频次-----2
('奉',)的频次-----21
('法令',)的频次-----18
('不容',)的频次-----47
('私',)的频次-----34
('尽',)的频次-----178
('心力',)的频次-----3
('矜',)的频次-----1
('遭',)的频次-----66
('患难',)的频次-----4
('避',)的频次-----15
('死',)的频次-----218
('见',)的频次-----370
('贤',)的频次-----12
('居',)的频次-----181
('其',)的频次-----2118
('受',)的频次-----668
('禄',)的频次-----1
('量',)的频次-----309
('以',)的频次-----5502
('亡',)的频次-----17
('尊',)的频次-----28
('显',)的频次-----63
('之',)的频次-----2716
('不管',)的频次-----119
('学',)的频次-----633
('专业',)的频次-----480
('总得',)的频次-----6
('懂',)的频次-----101
('一些',)的频次-----1924
('文学',)的频次-----347
('艺术',)的频次-----754
('素养',)的频次-----26
('对于',)的频次-----678
('丰富',)的频次-----358
('提高',)的频次-----1619
('审美',)的频次-----43
('能力',)的频次-----810
('好处',)的频次-----89
('各国',)的频次-----461
('先进',)的频次-----517
('外文',)的频次-----7
('学术',)的频次-----312
('值得',)的频次-----225
('纪念',)的频次-----311
('别人',)的频次-----142
('觉得',)的频次-----182
('同',)的频次-----1491
('个人',)的频次-----616
('赚钱',)的频次-----37
('比',)的频次-----1138
('富强',)的频次-----18
('出版',)的频次-----570
('久',)的频次-----134
('出版界',)的频次-----12
('朋友',)的频次-----270
('行',)的频次-----397
('字',)的频次-----301
('坚信',)的频次-----31
('辉煌',)的频次-----128
('过去',)的频次-----576
('前人',)的频次-----19
('汽车',)的频次-----431
('生产',)的频次-----1731
('厂家',)的频次-----150
('自',)的频次-----828
('问世',)的频次-----53
('以来',)的频次-----1149
('一直',)的频次-----529
('如此',)的频次-----349
('从来',)的频次-----79
('物',)的频次-----166
('艺',)的频次-----41
('相通',)的频次-----16
('今',)的频次-----55
('攻坚',)的频次-----68
('交融',)的频次-----12
('心里',)的频次-----156
('老',)的频次-----808
('惦',)的频次-----2
('家里',)的频次-----186
('脚',)的频次-----118
('总是',)的频次-----222
('迈',)的频次-----65
('喊',)的频次-----63
('救命',)的频次-----10
('啊',)的频次-----111
('这次',)的频次-----803
('会议',)的频次-----1546
('全世界',)的频次-----123
('关注',)的频次-----409
('祖先',)的频次-----25
('发明',)的频次-----110
('造纸',)的频次-----12
('术',)的频次-----35
('之前',)的频次-----216
('竹',)的频次-----32
('片',)的频次-----266
('写字',)的频次-----14
('城区',)的频次-----77
('沿',)的频次-----48
('湖',)的频次-----80
('大片',)的频次-----42
('绿化',)的频次-----109
('带',)的频次-----573
('衬托',)的频次-----9
('精致',)的频次-----21
('恢宏',)的频次-----21
('建筑',)的频次-----277
('如',)的频次-----964
('诗',)的频次-----163
('跳跃',)的频次-----22
('音乐',)的频次-----189
('和畅',)的频次-----1
('保护',)的频次-----752
('承包',)的频次-----182
('造林',)的频次-----23
('集体',)的频次-----312
('合法权益',)的频次-----80
('任何',)的频次-----559
('不得',)的频次-----190
('侵犯',)的频次-----68
('依法',)的频次-----411
('享有',)的频次-----61
('林木',)的频次-----13
('所有权',)的频次-----26
('其他',)的频次-----761
('警官',)的频次-----8
('外地',)的频次-----93
('户口',)的频次-----35
('驾驶员',)的频次-----14
('此次',)的频次-----332
('机构改革',)的频次-----69
('前',)的频次-----1791
('医药',)的频次-----79
('体制',)的频次-----369
('多头',)的频次-----10
('责',)的频次-----32
('分离',)的频次-----57
('管理',)的频次-----1771
('开始',)的频次-----1343
('爱人',)的频次-----28
('服装',)的频次-----163
('生意',)的频次-----90
('由于',)的频次-----1248
('行情',)的频次-----32
('小',)的频次-----1843
('商亭',)的频次-----2
('卖',)的频次-----304
('烟',)的频次-----65
('酒',)的频次-----155
('食品',)的频次-----240
('最好',)的频次-----157
('装',)的频次-----168
('电话',)的频次-----387
('可是',)的频次-----186
('很难',)的频次-----166
('批',)的频次-----104
('部队',)的频次-----506
('帮',)的频次-----132
('需',)的频次-----205
('军队',)的频次-----293
('政权',)的频次-----97
('柱石',)的频次-----2
('也是',)的频次-----927
('老百姓',)的频次-----140
('所在',)的频次-----131
('就业',)的频次-----656
('着力',)的频次-----46
('解决',)的频次-----1484
('穷',)的频次-----104
('心血',)的频次-----62
('科研成果',)的频次-----56
('找',)的频次-----344
('几家',)的频次-----55
('出版社',)的频次-----57
('拒',)的频次-----41
('门',)的频次-----242
('外',)的频次-----718
('军人',)的频次-----149
('行政',)的频次-----327
('职务',)的频次-----157
('军衔',)的频次-----8
('构成',)的频次-----199
('首长',)的频次-----20
('部属',)的频次-----6
('上级',)的频次-----106
('下级',)的频次-----17
('以及',)的频次-----1132
('同级',)的频次-----13
('之间',)的频次-----771
('通常',)的频次-----66
('称呼',)的频次-----6
('或',)的频次-----1536
('姓名',)的频次-----31
('加',)的频次-----257
('同志',)的频次-----1260
('正职',)的频次-----8
('称',)的频次-----348
('哥们',)的频次-----9
('尊重',)的频次-----199
('受不了',)的频次-----11
('上告',)的频次-----4
('哈哈',)的频次-----4
('真是',)的频次-----80
('雏儿',)的频次-----1
('休想',)的频次-----2
('吹',)的频次-----83
('大话',)的频次-----3
('吓',)的频次-----15
('以为',)的频次-----96
('惧怕',)的频次-----5
('爪牙',)的频次-----1
('饶',)的频次-----18
('性命',)的频次-----9
('虎',)的频次-----156
('冠',)的频次-----41
('古话',)的频次-----4
('证明',)的频次-----278
('戴',)的频次-----51
('乌纱',)的频次-----2
('古已有之',)的频次-----2
('打',)的频次-----649
('惹',)的频次-----9
('杀',)的频次-----70
('大祸',)的频次-----4
('老婆',)的频次-----13
('寻',)的频次-----50
('呼',)的频次-----29
('小姐',)的频次-----41
('风险投资',)的频次-----19
('目的',)的频次-----330
('在于',)的频次-----279
('对',)的频次-----9654
('投资',)的频次-----1256
('企业',)的频次-----4433
('股份',)的频次-----77
('占有',)的频次-----78
('控制',)的频次-----436
('尽快',)的频次-----283
('回收',)的频次-----43
('流动资金',)的频次-----20
('回馈',)的频次-----3
('投资者',)的频次-----155
('并',)的频次-----3402
('进行',)的频次-----3619
('成果',)的频次-----578
('鉴定',)的频次-----85
('评价',)的频次-----229
('意见',)的频次-----580
('米',)的频次-----72
('旗',)的频次-----40
('有人',)的频次-----397
('期盼',)的频次-----39
('沮丧',)的频次-----14
('先生',)的频次-----680
('总理',)的频次-----563
('友谊',)的频次-----166
('文章',)的频次-----299
('水货',)的频次-----1
('手机',)的频次-----43
('即',)的频次-----654
('走私',)的频次-----462
('买方',)的频次-----45
('卖方',)的频次-----4
('关税',)的频次-----50
('大大',)的频次-----186
('占',)的频次-----984
('便宜',)的频次-----56
('倒霉',)的频次-----8
('那些',)的频次-----378
('合法',)的频次-----71
('经营',)的频次-----921
('商家',)的频次-----66
('只当',)的频次-----5
('哑巴亏',)的频次-----2
('现代',)的频次-----489
('品牌',)的频次-----95
('附近',)的频次-----204
('干活',)的频次-----29
('或是',)的频次-----58
('买卖',)的频次-----57
('可不是',)的频次-----4
('以前',)的频次-----187
('省心',)的频次-----6
('日子',)的频次-----188
('越',)的频次-----380
('愁',)的频次-----28
('困难',)的频次-----730
('政府',)的频次-----3144
('保护价',)的频次-----35
('打白条',)的频次-----7
('年纪',)的频次-----24
('讲究',)的频次-----54
('没',)的频次-----643
('这儿',)的频次-----33
('种',)的频次-----465
('草',)的频次-----201
('养畜',)的频次-----16
('试验',)的频次-----186
('沾',)的频次-----21
('光',)的频次-----176
('实践',)的频次-----653
('科学管理',)的频次-----14
('市场经济',)的频次-----438
('生存',)的频次-----216
('因素',)的频次-----413
('不觉',)的频次-----12
('泪如泉涌',)的频次-----2
('理解',)的频次-----329
('许多',)的频次-----1204
('由衷',)的频次-----34
('感谢',)的频次-----147
('党',)的频次-----1554
('人民',)的频次-----1256
('爸爸',)的频次-----53
('荣誉',)的频次-----118
('铁路',)的频次-----169
('市场',)的频次-----2898
('国歌',)的频次-----18
('唱',)的频次-----106
('：',)的频次-----5988
('已经',)的频次-----1046
('危险',)的频次-----139
('年轻人',)的频次-----80
('些',)的频次-----209
('苦',)的频次-----124
('自觉',)的频次-----195
('磨练',)的频次-----14
('意志',)的频次-----78
('若是',)的频次-----8
('这点',)的频次-----14
('委屈',)的频次-----11
('谈',)的频次-----302
('何',)的频次-----65
('革命',)的频次-----420
('家',)的频次-----1135
('贫穷',)的频次-----53
('童年',)的频次-----33
('时代',)的频次-----586
('读',)的频次-----333
('社会',)的频次-----2530
('副',)的频次-----1364
('冷眼',)的频次-----1
('歧视',)的频次-----18
('面孔',)的频次-----28
('经常',)的频次-----243
('无端',)的频次-----14
('挑剔',)的频次-----7
('讥讽',)的频次-----2
('欺压',)的频次-----7
('穷人',)的频次-----17
('实施',)的频次-----888
('送',)的频次-----472
('温暖',)的频次-----80
('工程',)的频次-----1091
('拿',)的频次-----470
('硬',)的频次-----108
('措施',)的频次-----901
('力气',)的频次-----37
('功夫',)的频次-----53
('排忧解难',)的频次-----31
('是的',)的频次-----18
('欲望',)的频次-----29
('境界',)的频次-----66
('散步',)的频次-----13
('长谈',)的频次-----2
('情景',)的频次-----58
('私念',)的频次-----1
('天上',)的频次-----25
('人间',)的频次-----71
('经受',)的频次-----57
('多少',)的频次-----260
('年',)的频次-----517
('狂风',)的频次-----7
('暴雨',)的频次-----116
('雷',)的频次-----11
('劈',)的频次-----4
('电击',)的频次-----3
('一失足成千古恨',)的频次-----1
('同学',)的频次-----129
('看到',)的频次-----675
('今天',)的频次-----1937
('你们',)的频次-----209
('是否',)的频次-----330
('感悟',)的频次-----19
('他们',)的频次-----3581
('得到',)的频次-----944
('张',)的频次-----576
('收据',)的频次-----22
('可以',)的频次-----1583
('利用',)的频次-----837
('票据',)的频次-----16
('欠缺',)的频次-----14
('造成',)的频次-----652
('在途',)的频次-----2
('资金',)的频次-----898
('印象',)的频次-----140
('从而',)的频次-----392
('商业',)的频次-----243
('诈骗',)的频次-----20
('活动',)的频次-----1933
('客户',)的频次-----177
('只要',)的频次-----358
('开',)的频次-----570
('托收',)的频次-----8
('哦',)的频次-----8
('就是',)的频次-----166
('退票',)的频次-----2
('无',)的频次-----820
('责任',)的频次-----540
('相识',)的频次-----9
('缘分',)的频次-----6
('嘛',)的频次-----26
('传说',)的频次-----39
('美丽',)的频次-----114
('动听',)的频次-----12
('终归',)的频次-----4
('好容易',)的频次-----2
('勉强',)的频次-----13
('支撑',)的频次-----64
('戏',)的频次-----103
('演',)的频次-----60
('完',)的频次-----269
('满腹',)的频次-----6
('歉意',)的频次-----8
('去',)的频次-----1495
('谢幕',)的频次-----1
('力量',)的频次-----538
('绝对',)的频次-----83
('之下',)的频次-----70
('党性',)的频次-----52
('阶级性',)的频次-----2
('校长',)的频次-----195
('该',)的频次-----1885
('怎么办',)的频次-----35
('城',)的频次-----250
('未必',)的频次-----30
('褐',)的频次-----5
('木',)的频次-----137
('庐',)的频次-----1
('相比',)的频次-----204
('耽误',)的频次-----22
('太',)的频次-----461
('时间',)的频次-----1125
('简直',)的频次-----29
('相信',)的频次-----307
('眼睛',)的频次-----149
('这里',)的频次-----969
('园林',)的频次-----43
('式',)的频次-----352
('大型',)的频次-----356
('娱乐',)的频次-----85
('设施',)的频次-----480
('办',)的频次-----774
('旅游',)的频次-----358
('度假村',)的频次-----4
('平等',)的频次-----125
('对话',)的频次-----244
('伙伴',)的频次-----210
('本着',)的频次-----55
('原则',)的频次-----537
('行为',)的频次-----516
('准则',)的频次-----46
('老干部',)的频次-----60
('挡',)的频次-----20
('不住',)的频次-----64
('诱惑',)的频次-----38
('犯',)的频次-----56
('错误',)的频次-----136
('非常',)的频次-----508
('痛心',)的频次-----12
('废话',)的频次-----6
('ＣＴ',)的频次-----25
('Ｘ',)的频次-----18
('作曲',)的频次-----10
('写',)的频次-----549
('剧本',)的频次-----34
('培养',)的频次-----557
('演员',)的频次-----140
('其实',)的频次-----197
('良知',)的频次-----15
('遇',)的频次-----56
('那种',)的频次-----141
('毫不犹豫',)的频次-----19
('冲',)的频次-----110
('动物',)的频次-----125
('活生生',)的频次-----15
('进',)的频次-----631
('书本',)的频次-----20
('变得',)的频次-----142
('死死',)的频次-----4
('善举',)的频次-----2
('使',)的频次-----3028
('深感',)的频次-----52
('真情',)的频次-----52
('产生',)的频次-----618
('他年',)的频次-----1
('若',)的频次-----131
('青',)的频次-----45
('帝',)的频次-----4
('报',)的频次-----237
('桃花',)的频次-----13
('处',)的频次-----493
('另',)的频次-----380
('首',)的频次-----115
('题',)的频次-----72
('菊花',)的频次-----15
('飒飒',)的频次-----2
('西风',)的频次-----2
('满',)的频次-----260
('院',)的频次-----293
('栽',)的频次-----38
('蕊',)的频次-----2
('寒',)的频次-----26
('冷',)的频次-----58
('蝶',)的频次-----45
('回答',)的频次-----183
('听戏',)的频次-----4
('会友',)的频次-----7
('起哄',)的频次-----4
('允许',)的频次-----170
('继续',)的频次-----896
('努力',)的频次-----1205
('指',)的频次-----234
('山',)的频次-----432
('脑',)的频次-----91
('红旗',)的频次-----32
('掌',)的频次-----13
('别',)的频次-----121
('小看',)的频次-----9
('哟',)的频次-----8
('笔',)的频次-----245
('锋',)的频次-----23
('激情',)的频次-----83
